bse_code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades,report link
500830,COLPAL,A,3759.65,3759.65,3638.0,3641.75,2277,83.8,627,https://www.bseindia.com/stock-share-price/colpal/colpal/500830/financials-annual-reports/
500260,RAMCOCEM,A,862.1,872.5,856.85,863.05,9640,83.35,828,https://www.bseindia.com/stock-share-price/ramcocem/ramcocem/500260/financials-annual-reports/
532156,VAIBHAVGBL,A,304.85,304.85,299.0,300.1,27492,82.7,1032,https://www.bseindia.com/stock-share-price/vaibhavgbl/vaibhavgbl/532156/financials-annual-reports/
532843,FORTIS,A,611.65,622.3,610.0,614.0,13390,82.43,667,https://www.bseindia.com/stock-share-price/fortis/fortis/532843/financials-annual-reports/
532762,ACE,A,1365.95,1365.95,1343.05,1346.45,6059,81.94,663,https://www.bseindia.com/stock-share-price/ace/ace/532762/financials-annual-reports/
543523,CAMPUS,A,318.5,322.9,313.0,314.25,25420,80.45,1034,https://www.bseindia.com/stock-share-price/campus/campus/543523/financials-annual-reports/
543228,ROUTE,A,1559.95,1574.0,1538.8,1563.6,5128,79.72,643,https://www.bseindia.com/stock-share-price/route/route/543228/financials-annual-reports/
531599,FDC,A,536.2,552.0,526.0,542.8,14616,79.33,569,https://www.bseindia.com/stock-share-price/fdc/fdc/531599/financials-annual-reports/
532814,INDIANB,A,535.95,535.95,521.55,524.1,14986,78.84,797,https://www.bseindia.com/stock-share-price/indianb/indianb/532814/financials-annual-reports/
532976,JAIBALAJI,B,1120.65,1176.6,1120.6,1145.6,6791,78.44,635,https://www.bseindia.com/stock-share-price/jaibalaji/jaibalaji/532976/financials-annual-reports/
526612,BLUEDART,A,8738.9,8738.9,8485.25,8542.95,911,78.05,229,https://www.bseindia.com/stock-share-price/bluedart/bluedart/526612/financials-annual-reports/
543426,METROBRAND,A,1249.0,1249.0,1206.1,1208.8,6359,77.8,715,https://www.bseindia.com/stock-share-price/metrobrand/metrobrand/543426/financials-annual-reports/
505255,GMMPFAUDLR,A,1380.85,1401.95,1363.0,1399.45,5462,75.28,719,https://www.bseindia.com/stock-share-price/gmmpfaudlr/gmmpfaudlr/505255/financials-annual-reports/
532209,J&KBANK,A,99.85,101.6,99.2,99.35,73844,73.91,681,https://www.bseindia.com/stock-share-price/j&kbank/j&kbank/532209/financials-annual-reports/
530813,KRBL,A,290.85,290.85,284.45,285.55,25375,72.79,1031,https://www.bseindia.com/stock-share-price/krbl/krbl/530813/financials-annual-reports/
532424,GODREJCP,A,1348.8,1351.55,1313.9,1316.3,5453,72.43,850,https://www.bseindia.com/stock-share-price/godrejcp/godrejcp/532424/financials-annual-reports/
542907,PRINCEPIPE,A,547.2,552.45,546.0,549.55,12859,70.48,1238,https://www.bseindia.com/stock-share-price/princepipe/princepipe/542907/financials-annual-reports/
500878,CEATLTD,A,3081.1,3081.1,2972.0,2984.15,2338,70.44,451,https://www.bseindia.com/stock-share-price/ceatltd/ceatltd/500878/financials-annual-reports/
543299,SHYAMMETL,A,933.0,944.85,922.5,928.05,7520,70.22,617,https://www.bseindia.com/stock-share-price/shyammetl/shyammetl/543299/financials-annual-reports/
541578,VARROC,A,578.05,586.4,573.9,584.25,12031,69.89,664,https://www.bseindia.com/stock-share-price/varroc/varroc/541578/financials-annual-reports/
502355,BALKRISIND,A,3046.1,3069.2,3021.3,3060.85,2285,69.56,517,https://www.bseindia.com/stock-share-price/balkrisind/balkrisind/502355/financials-annual-reports/
543768,NSLNISP,A,50.78,51.63,50.78,50.87,135897,69.42,981,https://www.bseindia.com/stock-share-price/nslnisp/nslnisp/543768/financials-annual-reports/
517174,HONAUT,A,49539.75,50500.0,49539.75,50061.25,138,69.2,94,https://www.bseindia.com/stock-share-price/honaut/honaut/517174/financials-annual-reports/
543427,MEDPLUS,A,652.0,666.85,648.75,662.85,10323,67.73,847,https://www.bseindia.com/stock-share-price/medplus/medplus/543427/financials-annual-reports/
543336,CHEMPLASTS,A,490.4,520.0,490.4,502.3,13107,66.66,871,https://www.bseindia.com/stock-share-price/chemplasts/chemplasts/543336/financials-annual-reports/
532926,JYOTHYLAB,A,540.25,540.25,528.05,534.6,12290,65.48,980,https://www.bseindia.com/stock-share-price/jyothylab/jyothylab/532926/financials-annual-reports/
541179,ISEC,A,866.95,866.95,836.85,842.4,7720,65.21,720,https://www.bseindia.com/stock-share-price/isec/isec/541179/financials-annual-reports/
522113,TIMKEN,A,3750.2,3797.0,3716.25,3733.6,1720,64.65,534,https://www.bseindia.com/stock-share-price/timken/timken/522113/financials-annual-reports/
506285,BAYERCROP,A,6812.1,6844.55,6675.0,6736.85,936,63.32,279,https://www.bseindia.com/stock-share-price/bayercrop/bayercrop/506285/financials-annual-reports/
532548,CENTURYPLY,A,882.0,903.0,869.3,897.75,7004,62.39,1010,https://www.bseindia.com/stock-share-price/centuryply/centuryply/532548/financials-annual-reports/
543238,UTIAMC,A,1257.95,1259.15,1226.3,1231.0,5010,62.3,546,https://www.bseindia.com/stock-share-price/utiamc/utiamc/543238/financials-annual-reports/
543657,ACI,A,680.05,690.35,668.55,671.2,9152,62.04,559,https://www.bseindia.com/stock-share-price/aci/aci/543657/financials-annual-reports/
511196,CANFINHOME,A,875.0,876.0,854.45,857.35,7162,61.89,642,https://www.bseindia.com/stock-share-price/canfinhome/canfinhome/511196/financials-annual-reports/
505790,SCHAEFFLER,A,3900.0,3911.95,3833.75,3863.9,1595,61.63,623,https://www.bseindia.com/stock-share-price/schaeffler/schaeffler/505790/financials-annual-reports/
506767,ALKYLAMINE,A,2250.0,2348.0,2250.0,2296.6,2621,60.75,361,https://www.bseindia.com/stock-share-price/alkylamine/alkylamine/506767/financials-annual-reports/
542726,INDIAMART,A,3028.95,3028.95,2983.8,2991.05,2006,60.22,540,https://www.bseindia.com/stock-share-price/indiamart/indiamart/542726/financials-annual-reports/
542867,CSBBANK,A,315.9,316.75,309.4,311.5,19223,60.19,986,https://www.bseindia.com/stock-share-price/csbbank/csbbank/542867/financials-annual-reports/
532504,NAVINFLUOR,A,3394.3,3435.0,3376.2,3390.6,1762,59.9,445,https://www.bseindia.com/stock-share-price/navinfluor/navinfluor/532504/financials-annual-reports/
542650,METROPOLIS,A,2301.15,2306.85,2227.0,2257.15,2615,59.11,641,https://www.bseindia.com/stock-share-price/metropolis/metropolis/542650/financials-annual-reports/
500335,BIRLACORPN,A,1250.0,1260.05,1223.1,1229.9,4783,59.07,688,https://www.bseindia.com/stock-share-price/birlacorpn/birlacorpn/500335/financials-annual-reports/
532953,VGUARD,A,438.45,443.0,435.1,441.5,13171,57.96,861,https://www.bseindia.com/stock-share-price/vguard/vguard/532953/financials-annual-reports/
523704,MASTEK,A,2715.0,2746.0,2693.5,2697.9,2121,57.82,416,https://www.bseindia.com/stock-share-price/mastek/mastek/523704/financials-annual-reports/
540769,NIACL,A,218.0,218.0,210.15,211.4,26803,57.0,755,https://www.bseindia.com/stock-share-price/niacl/niacl/540769/financials-annual-reports/
532714,KEC,A,1027.5,1027.5,1007.3,1016.8,5557,56.55,510,https://www.bseindia.com/stock-share-price/kec/kec/532714/financials-annual-reports/
532805,REDINGTON,A,185.0,186.9,181.6,182.0,30084,55.11,581,https://www.bseindia.com/stock-share-price/redington/redington/532805/financials-annual-reports/
540133,ICICIPRULI,A,754.0,759.65,743.35,745.8,7324,54.9,674,https://www.bseindia.com/stock-share-price/icicipruli/icicipruli/540133/financials-annual-reports/
506076,GRINDWELL,A,2380.1,2454.0,2380.1,2448.15,2256,54.83,508,https://www.bseindia.com/stock-share-price/grindwell/grindwell/506076/financials-annual-reports/
544162,BHARTIHEXA,B,1452.0,1454.3,1432.85,1438.35,3799,54.82,339,https://www.bseindia.com/stock-share-price/bhartihexa/bhartihexa/544162/financials-annual-reports/
531335,ZYDUSWELL,A,1935.0,1972.45,1933.75,1964.05,2792,54.57,595,https://www.bseindia.com/stock-share-price/zyduswell/zyduswell/531335/financials-annual-reports/
540755,GICRE,A,391.55,391.55,386.0,389.4,13845,53.79,616,https://www.bseindia.com/stock-share-price/gicre/gicre/540755/financials-annual-reports/
500266,MAHSCOOTER,A,11418.15,11563.05,11216.0,11266.05,455,51.83,246,https://www.bseindia.com/stock-share-price/mahscooter/mahscooter/500266/financials-annual-reports/
538835,INTELLECT,A,911.85,911.85,880.45,884.05,5796,51.74,795,https://www.bseindia.com/stock-share-price/intellect/intellect/538835/financials-annual-reports/
