, year,link,nse_code,company_name
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_24150_20MICRONS_2023_2024_20062024104857.pdf,20MICRONS,20 Microns Limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_22393_20MICRONS_2022_2023_17072023155139_07172023160000.zip,20MICRONS,20 Microns Limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_20114_20MICRONS_2021_2022_27062022163505_06272022170002.zip,20MICRONS,20 Microns Limited
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_19275_20MICRONS_2020_2021_03092021173009.zip,20MICRONS,20 Microns Limited
,2019 - 2020,https://nsearchives.nseindia.com/annual_reports/AR_17134_20MICRONS_2019_2020_02092020145559_02092020150003.zip,20MICRONS,20 Microns Limited
,2018 - 2019,https://nsearchives.nseindia.com/annual_reports/AR_15161_20MICRONS_2018_2019_08082019111700_08082019120005.zip,20MICRONS,20 Microns Limited
,2017 - 2018,https://nsearchives.nseindia.com/annual_reports/AR_13476_20MICRONS_2017_2018_19092018170959.zip,20MICRONS,20 Microns Limited
,2016 - 2017,https://nsearchives.nseindia.com/annual_reports/AR_11546_20MICRONS_2016_2017_25092017121056.zip,20MICRONS,20 Microns Limited
,2015 - 2016,https://nsearchives.nseindia.com/annual_reports/AR_9852_20MICRONS_2015_2016_26092016101932.zip,20MICRONS,20 Microns Limited
,2014 - 2015,https://nsearchives.nseindia.com/annual_reports/AR_7592_20MICRONS_2014_2015_04092015183216.zip,20MICRONS,20 Microns Limited
,2013 - 2014,https://nsearchives.nseindia.com/annual_reports/AR_4896_20MICRONS_2013_2014_05092014180753.zip,20MICRONS,20 Microns Limited
,2012 - 2013,https://nsearchives.nseindia.com/annual_reports/AR_2110_20MICRONS_2012_2013_26092013163912.zip,20MICRONS,20 Microns Limited
,2011 - 2012,https://nsearchives.nseindia.com/annual_reports/AR_2274_20MICRONS_2011_2012_15102013100010.zip,20MICRONS,20 Microns Limited
,2010 - 2011,https://nsearchives.nseindia.com/annual_reports/AR_20MICRONS_2010_2011_11102011102255.zip,20MICRONS,20 Microns Limited
,2009 - 2010,https://nsearchives.nseindia.com/annual_reports/AR_20MICRONS_2009_2010_20042011102526.zip,20MICRONS,20 Microns Limited
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_24300_21STCENMGM_2023_2024_0407202416591.pdf,21STCENMGM,21st Century Management Services Limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_22722_21STCENMGM_2022_2023_11082023163902.zip,21STCENMGM,21st Century Management Services Limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_20136_21STCENMGM_2021_2022_29062022160604.zip,21STCENMGM,21st Century Management Services Limited
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_18158_21STCENMGM_2020_2021_18062021173838_18062021180007.zip,21STCENMGM,21st Century Management Services Limited
,2019 - 2020,https://nsearchives.nseindia.com/annual_reports/AR_17032_21STCENMGM_2019_2020_31082020182900_31082020190004.zip,21STCENMGM,21st Century Management Services Limited
,2018 - 2019,https://nsearchives.nseindia.com/annual_reports/AR_14659_21STCENMGM_2018_2019_01072019171648_01072019180009.zip,21STCENMGM,21st Century Management Services Limited
,2017 - 2018,https://nsearchives.nseindia.com/annual_reports/AR_12530_21STCENMGM_2017_2018_17072018170101.zip,21STCENMGM,21st Century Management Services Limited
,2016 - 2017,https://nsearchives.nseindia.com/annual_reports/AR_11787_21STCENMGM_2016_2017_29092017155312.zip,21STCENMGM,21st Century Management Services Limited
,2015 - 2016,https://nsearchives.nseindia.com/annual_reports/AR_10666_21STCENMGM_2015_2016_02012017184420.zip,21STCENMGM,21st Century Management Services Limited
,2014 - 2015,https://nsearchives.nseindia.com/annual_reports/AR_6839_21STCENMGM_2014_2015_01082015145501.zip,21STCENMGM,21st Century Management Services Limited
,2010 - 2011,https://nsearchives.nseindia.com/annual_reports/AR_21STCENMGM_2010_2011_25102011055757.zip,21STCENMGM,21st Century Management Services Limited
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_26248_360ONE_2023_2024_25092024193639.pdf,360ONE,360 ONE WAM LIMITED
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_22548_360ONE_2022_2023_28072023201321.zip,360ONE,360 ONE WAM LIMITED
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_21712_IIFLWAM_2021_2022_08092022164923.zip,360ONE,360 ONE WAM LIMITED
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_18849_IIFLWAM_2020_2021_23082021233350_24082021070001.zip,360ONE,360 ONE WAM LIMITED
,2019 - 2020,https://nsearchives.nseindia.com/annual_reports/AR_16809_IIFLWAM_2019_2020_20082020230206_21082020070002.zip,360ONE,360 ONE WAM LIMITED
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_26183_3IINFOLTD_2023_2024_07092024203624.pdf,3IINFOLTD,3i Infotech Limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_23311_3IINFOLTD_2022_2023_02092023205255_09022023210005.zip,3IINFOLTD,3i Infotech Limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_21324_3IINFOLTD_2021_2022_05092022134144.zip,3IINFOLTD,3i Infotech Limited
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_19872_3IINFOLTD_2020_2021_17122021102422_12172021110002.zip,3IINFOLTD,3i Infotech Limited
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_24506_3MINDIA_2023_2024_1507202420413.pdf,3MINDIA,3M India Limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_22598_3MINDIA_2022_2023_01082023181605_08012023190012.zip,3MINDIA,3M India Limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_20502_3MINDIA_2021_2022_28072022161243_07282022170014.zip,3MINDIA,3M India Limited
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_18526_3MINDIA_2020_2021_27072021141934_27072021150003.zip,3MINDIA,3M India Limited
,2019 - 2020,https://nsearchives.nseindia.com/annual_reports/AR_16525_3MINDIA_2019_2020_21072020121525_21072020130002.zip,3MINDIA,3M India Limited
,2018 - 2019,https://nsearchives.nseindia.com/annual_reports/AR_14904_3MINDIA_2018_2019_16072019161323_16072019170004.zip,3MINDIA,3M India Limited
,2017 - 2018,https://nsearchives.nseindia.com/annual_reports/AR_13083_3MINDIA_2017_2018_17082018102637.zip,3MINDIA,3M India Limited
,2016 - 2017,https://nsearchives.nseindia.com/annual_reports/AR_11111_3MINDIA_2016_2017_17082017112656.zip,3MINDIA,3M India Limited
,2015 - 2016,https://nsearchives.nseindia.com/annual_reports/AR_9394_3MINDIA_2015_2016_12092016111440.zip,3MINDIA,3M India Limited
,2014 - 2015,https://nsearchives.nseindia.com/annual_reports/AR_6362_3MINDIA_2014_2015_14072015103846.zip,3MINDIA,3M India Limited
,2013 - 2014,https://nsearchives.nseindia.com/annual_reports/AR_3775_3MINDIA_2013_2014_15072014124359.zip,3MINDIA,3M India Limited
,2012 - 2013,https://nsearchives.nseindia.com/annual_reports/AR_253_3MINDIA_2012_2013_03072013120849.zip,3MINDIA,3M India Limited
,2011 - 2012,https://nsearchives.nseindia.com/annual_reports/AR_3MINDIA_2011_2012_25092012035151.zip,3MINDIA,3M India Limited
,2010 - 2011,https://nsearchives.nseindia.com/annual_reports/AR_3MINDIA_2010_2011_18072011120000.zip,3MINDIA,3M India Limited
,2009 - 2010,https://nsearchives.nseindia.com/annual_reports/AR_3MINDIA_2009_2010_18082010121500.zip,3MINDIA,3M India Limited
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_24348_3PLAND_2023_2024_08072024115323.pdf,3PLAND,3P Land Holdings Limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_22284_3PLAND_2022_2023_11072023145741_07112023150001.zip,3PLAND,3P Land Holdings Limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_20331_3PLAND_2021_2022_12072022154809_07122022160006.zip,3PLAND,3P Land Holdings Limited
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_18654_3PLAND_2020_2021_07082021160657_07082021170001.zip,3PLAND,3P Land Holdings Limited
,2019 - 2020,https://nsearchives.nseindia.com/annual_reports/AR_16697_3PLAND_2019_2020_08082020184508_08082020190001.zip,3PLAND,3P Land Holdings Limited
,2018 - 2019,https://nsearchives.nseindia.com/annual_reports/AR_14634_3PLAND_2018_2019_28062019175543_28062019180017.zip,3PLAND,3P Land Holdings Limited
,2017 - 2018,https://nsearchives.nseindia.com/annual_reports/AR_12622_3PLAND_2017_2018_26072018104343.zip,3PLAND,3P Land Holdings Limited
,2016 - 2017,https://nsearchives.nseindia.com/annual_reports/AR_11051_PDUMJEIND_2016_2017_11082017140042.zip,3PLAND,3P Land Holdings Limited
,2015 - 2016,https://nsearchives.nseindia.com/annual_reports/AR_10445_PDUMJEIND_2015_2016_12102016175626.zip,3PLAND,3P Land Holdings Limited
,2014 - 2015,https://nsearchives.nseindia.com/annual_reports/AR_7358_PDUMJEIND_2014_2015_28082015140357.zip,3PLAND,3P Land Holdings Limited
,2013 - 2014,https://nsearchives.nseindia.com/annual_reports/AR_4396_PDUMJEIND_2013_2014_26082014124551.zip,3PLAND,3P Land Holdings Limited
,2012 - 2013,https://nsearchives.nseindia.com/annual_reports/AR_849_PDUMJEIND_2012_2013_06082013113131.zip,3PLAND,3P Land Holdings Limited
,2011 - 2012,https://nsearchives.nseindia.com/annual_reports/AR_2447_PDUMJEIND_2011_2012_15102013180004.zip,3PLAND,3P Land Holdings Limited
,2010 - 2011,https://nsearchives.nseindia.com/annual_reports/AR_PDUMJEIND_2010_2011_16092011092526.zip,3PLAND,3P Land Holdings Limited
,2009 - 2010,https://nsearchives.nseindia.com/annual_reports/AR_PDUMJEIND_2009_2010_21062012104956.zip,3PLAND,3P Land Holdings Limited
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_24976_5PAISA_2023_2024_16082024192429.pdf,5PAISA,5Paisa Capital Limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_22683_5PAISA_2022_2023_07082023184614_08072023190000.zip,5PAISA,5Paisa Capital Limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_20069_5PAISA_2021_2022_17062022194010_06172022200007.zip,5PAISA,5Paisa Capital Limited
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_18083_5PAISA_2020_2021_18052021180346_18052021190007.zip,5PAISA,5Paisa Capital Limited
,2019 - 2020,https://nsearchives.nseindia.com/annual_reports/AR_16279_5PAISA_2019_2020_06062020201926_06062020210001.zip,5PAISA,5Paisa Capital Limited
,2018 - 2019,https://nsearchives.nseindia.com/annual_reports/AR_15825_5PAISA_2018_2019_05092019182925_05092019190008.zip,5PAISA,5Paisa Capital Limited
,2017 - 2018,https://nsearchives.nseindia.com/annual_reports/AR_12554_5PAISA_2017_2018_20072018165356.zip,5PAISA,5Paisa Capital Limited
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_25520_63MOONS_2023_2024_0309202413437.pdf,63MOONS,63 moons technologies limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_23046_63MOONS_2022_2023_29082023130732_08292023140000.zip,63MOONS,63 moons technologies limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_20956_63MOONS_2021_2022_30082022125408_08302022130004.zip,63MOONS,63 moons technologies limited
,2020 - 2021,https://nsearchives.nseindia.com/annual_reports/AR_18854_63MOONS_2020_2021_24082021122538_24082021130002.zip,63MOONS,63 moons technologies limited
,2019 - 2020,https://nsearchives.nseindia.com/annual_reports/AR_17800_63MOONS_2019_2020_09112020181716_17112020113851.zip,63MOONS,63 moons technologies limited
,2018 - 2019,https://nsearchives.nseindia.com/annual_reports/AR_15337_63MOONS_2018_2019_23082019183933_23082019190011.zip,63MOONS,63 moons technologies limited
,2017 - 2018,https://nsearchives.nseindia.com/annual_reports/AR_13711_63MOONS_2017_2018_28092018145256.zip,63MOONS,63 moons technologies limited
,2016 - 2017,https://nsearchives.nseindia.com/annual_reports/AR_11716_63MOONS_2016_2017_28092017144129.zip,63MOONS,63 moons technologies limited
,2015 - 2016,https://nsearchives.nseindia.com/annual_reports/AR_10001_FINANTECH_2015_2016_05102016104410.zip,63MOONS,63 moons technologies limited
,2014 - 2015,https://nsearchives.nseindia.com/annual_reports/AR_8062_FINANTECH_2014_2015_08092015145343.zip,63MOONS,63 moons technologies limited
,2013 - 2014,https://nsearchives.nseindia.com/annual_reports/AR_4560_FINANTECH_2013_2014_01092014155724.zip,63MOONS,63 moons technologies limited
,2012 - 2013,https://nsearchives.nseindia.com/annual_reports/AR_1308_FINANTECH_2012_2013_02092013103001.zip,63MOONS,63 moons technologies limited
,2011 - 2012,https://nsearchives.nseindia.com/annual_reports/AR_2322_FINANTECH_2011_2012_15102013100014.zip,63MOONS,63 moons technologies limited
,2010 - 2011,https://nsearchives.nseindia.com/annual_reports/AR_FINANTECH_2010_2011_14092011033939.zip,63MOONS,63 moons technologies limited
,2009 - 2010,https://nsearchives.nseindia.com/annual_reports/AR_FINANTECH_2009_2010_14092010120000.zip,63MOONS,63 moons technologies limited
,2023 - 2024,https://nsearchives.nseindia.com/annual_reports/AR_26074_A2ZINFRA_2023_2024_0609202421659.pdf,A2ZINFRA,A2Z Infra Engineering Limited
,2022 - 2023,https://nsearchives.nseindia.com/annual_reports/AR_23745_A2ZINFRA_2022_2023_07092023155928.zip,A2ZINFRA,A2Z Infra Engineering Limited
,2021 - 2022,https://nsearchives.nseindia.com/annual_reports/AR_20864_A2ZINFRA_2021_2022_26082022160009.zip,A2ZINFRA,A2Z Infra Engineering Limited
